Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,22,2843,2323,1562,368,373,2,147,395,0,0
C:\Users\Parag\Desktop\k\Fresh\Assets\Scripts,22,2843,2323,1562,368,373,2,147,395,0,0
